,EWC_0,EWC_1,EWC_2,EWC_3,EWC_4
791,106,125,115,121,123
792,106,125,115,121,123
793,106,125,116,121,123
794,107,125,116,121,123
795,107,125,116,122,123
796,107,125,116,122,123
797,107,125,116,122,123
798,108,126,116,122,123
799,108,127,116,122,123
800,108,127,116,122,123
801,108,127,116,122,123
802,108,127,116,122,123
803,108,127,116,122,123
804,108,127,116,122,123
805,108,127,116,122,123
806,108,127,116,122,123
807,108,127,116,122,123
808,108,128,116,122,124
809,109,128,116,122,124
810,109,128,116,122,124
811,110,128,116,122,124
812,110,128,116,122,125
813,110,128,116,122,125
814,110,128,116,122,125
815,110,128,117,122,126
816,110,128,118,122,126
817,111,128,118,122,126
818,111,128,118,122,126
819,111,128,118,123,127
820,111,128,118,123,127
821,111,128,118,123,127
822,111,128,119,123,127
823,111,128,119,123,127
824,111,128,119,123,127
825,111,129,119,123,127
826,111,129,119,123,127
827,111,129,119,123,127
828,111,129,119,123,127
829,111,129,119,123,127
830,111,129,119,123,128
831,111,129,119,123,128
832,111,129,119,123,129
833,112,130,119,123,129
834,112,130,119,123,129
835,112,130,119,123,129
836,112,130,119,123,129
837,112,131,119,124,129
838,112,132,119,124,129
839,112,132,119,124,129
840,112,132,119,124,129
841,112,132,120,124,129
842,112,132,120,124,129
843,112,132,120,125,129
844,112,132,120,125,129
845,112,132,120,125,130
846,112,132,121,125,130
847,112,132,121,125,130
848,112,132,121,125,131
849,112,132,121,125,131
850,112,132,121,125,131
851,112,132,121,125,131
852,112,132,121,125,131
853,112,133,121,125,132
854,112,133,121,125,132
855,112,133,121,125,132
856,112,133,121,125,132
857,112,133,121,125,132
858,113,133,121,125,132
859,113,133,121,125,132
860,113,133,121,125,132
861,113,133,122,125,132
862,113,133,122,126,132
863,113,134,122,126,132
864,113,134,122,126,132
865,114,134,123,126,132
866,114,134,123,126,132
867,115,134,123,126,132
868,115,134,123,126,132
869,115,134,123,126,132
870,115,134,123,126,132
871,115,134,123,126,132
872,115,134,123,126,132
873,115,134,123,126,132
874,115,134,123,126,132
875,115,134,123,126,133
876,115,134,123,126,133
877,115,134,123,126,133
878,115,134,123,126,133
879,115,134,123,126,133
880,116,134,123,127,133
881,116,134,123,127,133
882,116,134,123,127,133
883,116,134,123,127,133
884,116,134,123,128,133
885,116,134,123,128,133
886,116,134,123,129,133
887,116,134,123,129,133
888,116,134,124,129,133
889,116,134,124,129,133
890,116,134,124,129,133
891,117,134,125,129,133
892,117,134,125,129,133
893,117,134,125,129,133
894,117,134,125,129,134
895,117,135,125,129,134
896,117,135,125,129,134
897,118,135,126,130,134
898,118,135,126,130,134
899,118,135,126,130,134
900,118,135,126,130,135
901,118,135,126,130,135
902,118,135,126,130,135
903,119,135,126,130,135
904,119,135,127,130,136
905,119,135,127,130,136
906,119,135,127,130,136
907,119,135,127,130,136
908,119,135,127,130,136
909,119,135,128,131,136
910,119,135,129,131,136
911,119,135,129,131,136
912,119,135,129,131,136
913,119,135,129,131,136
914,119,135,129,131,136
915,119,136,129,131,136
916,120,136,129,131,136
917,120,136,129,131,136
918,120,136,129,131,136
919,120,136,129,131,136
920,120,136,129,131,136
921,120,136,129,131,136
922,120,136,129,131,136
923,120,136,129,132,136
924,120,136,129,132,136
925,120,136,130,132,136
926,120,136,130,132,136
927,120,136,130,132,136
928,120,136,130,132,136
929,120,136,130,132,136
930,120,136,130,132,137
931,121,136,131,132,137
932,121,136,131,132,137
933,121,137,131,132,137
934,121,137,131,132,137
935,121,137,131,132,137
936,121,137,131,132,137
937,121,137,132,133,137
938,121,138,132,133,137
939,121,138,132,133,137
940,121,138,132,133,137
941,121,138,132,133,137
942,121,138,133,133,137
943,121,138,133,133,137
944,121,138,133,133,137
945,121,138,133,133,137
946,121,138,133,133,137
947,121,138,133,133,138
948,121,138,133,133,139
949,121,138,133,133,140
950,121,138,133,133,140
951,121,138,134,133,140
952,121,138,134,133,140
953,121,138,134,133,141
954,121,138,134,133,142
955,121,138,134,133,142
956,122,138,134,133,142
957,122,138,134,134,142
958,122,138,134,134,142
959,122,138,134,134,142
960,122,138,134,134,142
961,122,138,135,134,142
962,122,138,135,134,142
963,122,139,135,135,142
964,122,139,135,135,142
965,122,139,135,135,142
966,122,140,135,135,142
967,122,140,135,135,142
968,122,140,135,135,142
969,122,140,135,135,142
970,122,140,135,135,142
971,122,140,135,135,142
972,122,140,135,135,143
973,122,140,136,135,144
974,122,140,136,135,144
975,122,140,136,135,144
976,122,140,136,135,144
977,122,140,136,136,144
978,122,140,136,136,144
979,123,140,136,136,144
980,123,140,136,136,145
981,123,141,136,136,145
982,123,141,136,136,145
983,123,141,136,136,145
984,123,141,136,136,145
985,123,141,136,136,145
986,124,141,136,136,146
987,124,141,136,136,146
988,124,141,136,136,146
989,124,141,137,136,146
990,124,141,137,136,146
991,125,141,137,136,146
992,125,141,137,136,146
993,125,141,137,136,146
994,125,141,137,136,147
995,125,141,137,136,147
996,125,141,137,137,147
997,125,141,137,137,147
998,125,141,137,137,147
999,125,141,138,137,147
1000,125,141,138,137,147
1001,126,142,138,137,147
1002,126,142,138,137,147
1003,127,142,138,137,147
1004,127,142,138,137,147
1005,127,142,138,137,147
1006,128,142,138,137,147
1007,128,142,138,138,147
1008,128,142,138,138,147
1009,128,142,138,138,147
1010,128,142,138,139,147
1011,128,142,138,139,147
1012,128,142,138,139,147
1013,128,143,138,139,147
1014,128,143,138,139,147
1015,128,143,138,140,147
1016,128,143,138,140,147
1017,128,143,138,140,147
1018,128,143,138,140,147
1019,128,143,138,140,147
1020,128,143,138,140,147
1021,128,143,138,141,147
1022,129,143,139,141,147
1023,129,143,139,141,147
1024,130,143,139,141,147
1025,130,143,139,141,147
1026,130,143,139,141,147
1027,130,143,139,141,147
1028,130,143,139,141,147
1029,130,143,139,141,147
1030,130,144,139,141,147
1031,130,144,139,141,147
1032,130,144,139,141,147
1033,130,145,139,141,148
1034,130,145,139,141,148
1035,130,145,139,141,148
1036,130,145,139,141,148
1037,130,145,139,141,148
1038,130,145,139,141,148
1039,130,145,139,141,148
1040,130,145,139,141,149
1041,130,145,139,141,149
1042,130,145,139,141,149
1043,131,145,139,141,150
1044,131,145,139,141,150
1045,131,145,139,141,150
1046,131,145,139,141,150
1047,131,145,139,141,150
1048,131,145,139,141,151
1049,131,145,139,141,151
1050,131,145,139,141,151
1051,131,145,139,141,151
1052,131,145,140,141,151
1053,131,145,140,141,151
1054,131,145,140,141,152
1055,131,146,140,141,152
1056,131,146,140,141,152
1057,131,146,140,141,152
1058,131,147,140,141,152
1059,132,147,140,141,152
1060,132,147,140,142,152
1061,132,147,140,142,152
1062,132,147,141,142,152
1063,132,147,141,142,152
1064,132,147,141,142,152
1065,132,147,141,142,152
1066,132,148,141,142,152
1067,132,148,141,142,152
1068,132,148,141,142,152
1069,132,148,141,142,152
1070,132,148,141,142,152
1071,132,148,141,142,152
1072,132,148,141,142,152
1073,132,148,141,142,152
1074,132,148,141,142,153
1075,132,148,141,142,153
1076,132,148,141,142,153
1077,133,148,141,142,154
1078,133,148,142,142,155
1079,133,149,142,142,155
1080,134,149,142,142,155
1081,134,149,142,142,156
1082,134,149,143,142,156
1083,134,149,144,142,157
1084,134,149,144,142,157
1085,134,149,144,142,157
1086,134,149,145,142,157
1087,134,149,145,142,157
1088,134,149,145,142,157
1089,134,149,145,142,157
1090,134,149,146,142,157
1091,134,149,146,142,157
1092,135,149,147,143,157
1093,135,149,147,143,157
1094,135,149,147,143,157
1095,135,149,147,143,157
1096,135,149,147,143,157
1097,135,150,147,143,157
1098,136,150,147,144,157
1099,136,150,147,144,157
1100,136,150,147,145,157
1101,136,150,147,145,157
1102,136,150,147,145,157
1103,136,150,147,145,157
1104,136,150,147,146,158
1105,136,150,147,146,158
1106,136,150,147,146,158
1107,137,150,147,146,158
1108,137,150,148,146,158
1109,137,150,148,146,158
1110,137,151,148,146,158
1111,137,151,148,146,158
1112,137,151,148,146,159
1113,137,151,148,146,159
1114,137,151,148,146,159
1115,138,151,148,146,159
1116,138,151,148,146,159
1117,138,151,149,146,159
1118,138,151,149,147,159
1119,138,151,149,147,159
1120,138,151,149,147,159
1121,138,151,149,147,159
1122,138,151,150,147,159
1123,138,151,150,147,159
1124,138,151,150,147,160
1125,138,151,150,147,160
1126,138,151,150,147,160
1127,138,151,150,147,160
1128,138,152,150,147,160
1129,139,152,150,147,160
1130,139,152,150,147,160
1131,139,152,150,147,160
1132,139,152,150,147,160
1133,139,152,150,147,160
1134,139,152,150,147,160
1135,139,152,150,147,161
1136,139,153,150,147,161
1137,139,153,150,147,161
1138,139,153,150,147,161
1139,139,153,150,147,161
1140,139,153,150,147,162
1141,139,153,150,147,162
1142,139,153,150,147,162
1143,139,153,150,147,162
